id,disease_name,pathogen_name,disease_type,affected_plant,host_range,risk_level,economic_impact,geographic_distribution,favorable_conditions,early_symptoms,late_symptoms,affected_parts,disease_cycle,incubation_period,organic_treatment,chemical_treatment,biological_treatment,preventive_measures,application_frequency,recovery_time,phi_days,created_at
19,Northern Corn Leaf Blight (NCLB),Exserohilum turcicum (Setosphaeria turcica),Fungal,Maize,"Maize, Sorghum, Sudan grass",High,Causes 10-50% yield loss. Major foliar disease in warm humid maize regions.,Worldwide in humid maize-growing regions,"Temperatures 18-27°C, prolonged dew periods, high humidity",Long (5-15cm) elliptical tan to grayish-green lesions with wavy margins on lower leaves,"Extensive leaf blighting from bottom of plant upward, dark olive-green spore mass on lesions in humid conditions",Leaves,Overwinters in infected crop debris. Conidia spread by wind and rain. Multiple infection cycles per season.,7-12 days,Copper-based fungicides preventively,"Azoxystrobin + Propiconazole (Quilt Xcel 1L/ha), Propiconazole alone (1ml/L)",Bacillus amyloliquefaciens,"Resistant hybrids, crop rotation, remove infected debris, timely planting",At VT/R1 stage (tasseling) preventively; repeat if disease pressure,14-21 days,21,2026-06-26 15:47:47.240669
20,Maize Lethal Necrosis (MLN),Maize chlorotic mottle virus (MCMV) + Potyviruses,Viral,Maize,"Maize, Sorghum, some grasses",Critical,Can cause 100% yield loss. Emerging disease devastating East African maize belts since 2011.,"East Africa (Kenya, Uganda, Tanzania, Ethiopia), Asia (China, Thailand)","High thrips, aphid, beetle populations; monoculture farming systems",Chlorotic (yellow) streaks and mottling on younger leaves; pale green to yellow leaf discoloration,"Complete necrosis of all leaves from leaf tip, brown papery leaves, ear rot, premature death","All plant parts, especially leaves and ears","MCMV transmitted by thrips, beetles, aphids; SCMV/WSMV transmitted by aphids. Synergistic interaction causes lethal necrosis.",14-21 days,"No cure; control insect vectors with neem oil, reflective mulch","No direct treatment; insecticides for vector control (Imidacloprid, Thiamethoxam)",No effective biological treatment,"Plant MLN-tolerant/resistant varieties, control thrips and aphids, crop rotation, early planting, remove infected plants",Vector control every 7-10 days in high-pressure periods,No recovery; remove infected plants,,2026-06-26 15:47:47.240670
21,Gray Leaf Spot,Cercospora zeae-maydis,Fungal,Maize,Maize,High,Major disease in high-elevation maize areas. 10-50% yield reduction.,"Worldwide, especially Africa, USA Corn Belt, Latin America","Warm humid weather, extended leaf wetness, minimum tillage, dense canopy","Small, irregular tan spots with yellow halos, mainly on lower leaves","Elongated, rectangular, grayish-tan lesions limited by leaf veins, covering entire leaf",Leaves,Overwinters in infected corn debris. Conidia spread by wind. Minimum tillage increases disease risk.,14-21 days,Copper-based sprays preventively,"Azoxystrobin, Propiconazole, Pyraclostrobin at tasseling stage",Bacillus subtilis,"Hybrid resistance, crop rotation, tillage to bury debris, fungicide at VT/R1",Preventive spray at VT stage,14-21 days,21,2026-06-26 15:47:47.240670
22,Late Blight (Potato),Phytophthora infestans,Oomycete,Potato,"Potato, Tomato",Critical,World's most economically important plant disease. Caused Irish Potato Famine. Global annual losses > $10 billion.,Worldwide,"Cool (10-20°C), wet weather, humidity >90%, dew","Water-soaked pale green spots on leaves, white sporulation on underside in humid conditions","Dark brown-black lesions on leaves, brown rots on stems, rapid spread of entire field collapse, tuber rot (brown-red internal)","Leaves, Stems, Tubers",Survives as oospores in soil and in infected tubers. Spreads by zoospores and sporangia. Wind dispersal over long distances.,2-4 days under optimal conditions,"Copper hydroxide (2.5-3g/L) preventively, Bordeaux mixture, avoid excessive irrigation","Metalaxyl-M + Mancozeb 2.5g/L, Dimethomorph + Mancozeb, Cymoxanil + Famoxadone, Fluopicolide","Bacillus subtilis QST713, Bacillus amyloliquefaciens","Plant resistant varieties (Kufri Bahar, Jyoti), use certified disease-free seed tubers, apply fungicide before first rains, destroy volunteer plants",Every 5-7 days during high-risk weather (Blitecast model advisory),Preventive only; infected plants rarely recover,7,2026-06-26 15:47:47.240670
23,Common Scab,Streptomyces scabies,Bacterial (Actinomycete),Potato,"Potato, Beet, Radish, Carrot",Medium,Reduces tuber quality and marketability by 10-40%.,"Worldwide, especially alkaline sandy soils","Alkaline soils (pH > 5.5), dry soil during tuber initiation, temperatures 20-22°C",No visible early symptoms on foliage,"Brown corky scab lesions (raised, sunken, or russeted) on tuber surface; external quality defect only",Tubers (surface),"Soil-borne bacteria, survive indefinitely. Infection during early tuber formation through lenticels and wounds.",14-30 days from tuber initiation,"Soil acidification (sulfur), crop rotation, adequate irrigation during tuber formation","Quintozene PCNB seed treatment (limited), Flutolanil seed treatment","Fluorescent Pseudomonas, Bacillus subtilis soil inoculants","Lower soil pH to 5.0-5.5, maintain soil moisture during tuber initiation, rotate with non-susceptible crops (cereals), use scab-resistant varieties",Management practices; no effective spray treatment,Prevention focus,,2026-06-26 15:47:47.240671
24,Anthracnose,Colletotrichum gloeosporioides,Fungal,Mango,"Mango, Papaya, Avocado, many tropical fruits",High,Most important post-harvest mango disease; causes 30-80% market loss.,All tropical and subtropical mango-growing regions,"High humidity, rainfall, temperatures 25-30°C, especially during flowering and fruit development","Dark brown to black spots on young leaves, flowers, and immature fruits; 'blossom blight' killing flower clusters","Sunken, dark brown lesions on mature fruits that expand rapidly post-harvest; fruit rot; complete flower destruction","Leaves, Flowers, Young Shoots, Fruit",Survives in infected twigs and mummified fruits. Conidia spread by rain and dew. Quiescent infection in unripe fruit activated during ripening.,7-14 days,"Copper oxychloride 3g/L, neem oil + copper, hot water dip 52°C for 5 minutes (post-harvest)","Carbendazim 0.1% + Mancozeb 0.25% spray, Azoxystrobin + Difenoconazole, Propiconazole 0.1%","Trichoderma, Bacillus subtilis, Pseudomonas fluorescens","Prune dead wood, copper spray before flowering, proper post-harvest handling (hot water), waxing, cold chain",3-4 sprays during flowering and fruit development; every 10-14 days,Prevention focus; treat within 1-2 days post-harvest,7,2026-06-26 15:47:47.240671
25,Powdery Mildew (Mango),Oidium mangiferae,Fungal,Mango,Mango,High,Destroys 10-80% of flowers; critical during mango flowering season.,All mango-growing regions,"Dry weather with low humidity at night, temperatures 10-20°C at night, 25-35°C during day (classic powdery mildew conditions)","White powdery coating on young leaves, flower clusters, and young fruits","Complete whitening of panicles, flower drop, young fruit drop, malformed surviving fruits","Young Leaves, Flowers (panicles), Young Fruits",Spreads by airborne conidia. Favored by dry nights and warm days during flowering season.,7-10 days,Wettable sulfur 3g/L at bud break; diluted milk spray (1:5); potassium bicarbonate,"Triadimefon 25% WP (1g/L), Hexaconazole 5% EC (2ml/L), Propiconazole 25% EC (1ml/L), Myclobutanil","Bacillus subtilis, Ampelomyces quisqualis","First spray at bud emergence, second at fruit set; avoid overhead irrigation; morning sprays",3 sprays at 15-day intervals during flowering season,7-10 days with treatment,21,2026-06-26 15:47:47.240671
26,Mango Malformation Disease (MMD),Fusarium mangiferae,Fungal,Mango,Mango,High,Infected trees produce no marketable fruits; economically devastating especially in India and Egypt.,"India, Pakistan, Egypt, South Africa, USA, Brazil","Cool weather, high humidity, specific Fusarium strains",Vegetative malformation: bunchy top appearance with compacted proliferation of shoots ('mango witches' broom'),"Floral malformation: panicle conversion to compact, sterile, green vegetative structure; no fruits formed","Shoot tips, Flower panicles","Systemically infects vascular tissue. Spread by infected scion material, mite vectors (Aceria mangiferae), and contaminated tools.",Months to years (systemic),Remove and burn malformed parts; control mites with acaricides,NAA (Naphthaleneacetic acid) 200ppm spray + Carbendazim (0.1%) at panicle emergence,No effective biological control,"Use disease-free planting material, certified nursery plants, deinfest cutting tools, control mite vectors",Pruning and NAA spray at panicle initiation,Partial control; severely affected trees may need replacement,30,2026-06-26 15:47:47.240672
27,Panama Wilt (Fusarium Wilt of Banana),Fusarium oxysporum f. sp. cubense (TR4),Fungal,Banana,"Banana, Plantain",Critical,TR4 strain virtually eliminated Gros Michel variety globally. Threatens Cavendish. No effective cure.,Worldwide,"Warm soils, pH 4.5-6.0, poor drainage, 24-34°C","Yellowing of older outer leaves, leaf collapse, starting from leaf margins; brown streaking in pseudostem when cut","Complete plant collapse, pseudostem brown-red internal discoloration from base upward, no fruit production","Roots, Pseudostem (vascular), Leaves",Soil-borne chlamydospores survive for decades. Enter through roots. Clog xylem vessels. Spreads through soil water and contaminated tools.,Weeks to months depending on race and soil,"No cure. Soil solarization, biological soil amendments (Trichoderma, compost)",No effective chemical treatment,"Trichoderma koningii, T. harzianum as suppressants","Strict quarantine, plant resistant varieties (GCTCV-218 for TR4), clean tools with bleach, avoid infected soil movement",Preventive soil treatment only,No recovery; replant with resistant varieties,,2026-06-26 15:47:47.240672
28,Black Sigatoka (Black Leaf Streak),Pseudocercospora fijiensis,Fungal,Banana,"Banana, Plantain",High,"Without fungicide, can reduce banana yield by 35-50%. Increases fungicide cost by $1000/ha/year.",Most banana-growing areas worldwide,"High humidity, rainfall, temperatures 27-30°C",Tiny pale yellow flecks on lower leaf surface that elongate into brown streaks,Brown-black elongated lesions with yellow halo on upper leaf surface; premature defoliation; green fruit ripening prematurely,Leaves,Spores (conidia and ascospores) spread by wind and rain. Multiple infection cycles per season. Develops resistance to fungicides rapidly.,25-50 days,"Copper oxychloride (2-3g/L) sprays, oil-based copper formulations; remove infected leaves","Systemic fungicides on rotation: Propiconazole, Tebuconazole, Fenbuconazole, Chlorothalonil; resistance management essential",No effective biocontrol registered,"Resistant varieties, remove lower infected leaves (deleafing), reduce humidity with good drainage and canopy management",12-24 sprays per year depending on disease pressure,Ongoing management; no cure,7,2026-06-26 15:47:47.240672
29,Cotton Leaf Curl Virus Disease (CLCuD),Cotton leaf curl Multan virus (CLCuMV) + betasatellite,Viral,Cotton,"Cotton, Okra, Hibiscus, Tomato",Critical,Devastated Pakistan cotton industry in 1992-93 causing 30% production loss. Ongoing threat to South Asia.,"Pakistan, India, Nigeria, Sudan","High whitefly populations, temperatures 25-35°C","Upward curling of leaves, vein thickening, enations (leaf-like outgrowths) on underside of leaves","Severe stunting, dark green thickened curled leaves, no boll formation, plant death","Leaves, Entire plant",Transmitted by whitefly (Bemisia tabaci) in persistent circulative manner. No mechanical or seed transmission.,14-21 days,"Control whiteflies with neem extract, reflective mulch, remove infected plants",Imidacloprid/Thiamethoxam soil application for whitefly control; Acetamiprid foliar spray,"Encarsia formosa, Beauveria bassiana for whitefly control","Resistant varieties (NIAB 846, CIM-499), control whiteflies strictly, remove infected plants, use insect-proof nets in nursery",Whitefly control every 7-10 days,No recovery; remove infected plants,,2026-06-26 15:47:47.240673
