id,document_type,title,content,source_module,plant_name,tags,tfidf_vector,created_at,updated_at
11,disease,Bacterial Leaf Blight (BLB) in Rice,"Disease: Bacterial Leaf Blight (BLB)
Pathogen: Xanthomonas oryzae pv. oryzae
Type: Bacterial
Affected Plant: Rice
Host Range: Rice (primary), wild Oryza species
Symptoms: Water-soaked to yellowish stripes along leaf margins, turning white to grayish, 'Kresek' phase in young seedlings (complete wilting). Milky, opaque bacterial exudate (dried beads) visible in morning on leaf tips, pale yellow 'straw' leaves, withered diseased panicles
Treatment: Drain fields; copper hydroxide (2g/L) as weak bactericide spray. Streptomycin + Tetracycline combination (limited effectiveness); Copper oxychloride preventively
Prevention: Plant resistant varieties (IR64, Swarna), avoid excessive nitrogen, drain infected fields, destroy stubble",diseases_db,Rice,"Bacterial,Rice,Xanthomonas oryzae pv. oryzae",,2026-06-26 15:47:47.241462,2026-06-26 15:47:47.241462
12,disease,Sheath Blight in Rice,"Disease: Sheath Blight
Pathogen: Rhizoctonia solani AG1-IA
Type: Fungal
Affected Plant: Rice
Host Range: Rice, Maize, Soybean, Sugarcane, and many other crops
Symptoms: Oval to elliptical greenish-gray lesions with white-gray interior and brownish border on leaf sheaths at water level. Lesions coalesce and extend to upper leaves, white mycelial growth and brown sclerotia visible, complete sheath and leaf death
Treatment: Trichoderma harzianum or T. viride soil application (2.5 kg/ha), Pseudomonas fluorescens spray. Hexaconazole 5% EC (1ml/L), Propiconazole 25% EC (1ml/L), Validamycin 3% L (2ml/L), Carbendazim (1g/L)
Prevention: Reduce plant density, lower nitrogen, drain standing water, use resistant varieties",diseases_db,Rice,"Fungal,Rice,Rhizoctonia solani AG1-IA",,2026-06-26 15:47:47.241463,2026-06-26 15:47:47.241463
13,disease,Brown Spot in Rice,"Disease: Brown Spot
Pathogen: Helminthosporium oryzae (Bipolaris oryzae)
Type: Fungal
Affected Plant: Rice
Host Range: Rice, Corn, Sorghum, Sugarcane
Symptoms: Small, oval to circular spots on leaves with yellow halo; dark brown margins and lighter centers. Spots enlarge to typical oval brown spots, leaves yellow and die; glume discoloration leading to pecky rice
Treatment: Trichoderma seed treatment, adequate potassium nutrition. Mancozeb 75% WP (2g/L), Propiconazole 25% EC (1ml/L), Iprodione (1.5g/L)
Prevention: Treat seeds with fungicide, correct soil nutrition (especially K and Si), use certified seeds, crop rotation",diseases_db,Rice,"Fungal,Rice,Helminthosporium oryzae (Bipolaris oryzae)",,2026-06-26 15:47:47.241463,2026-06-26 15:47:47.241464
14,disease,False Smut in Rice,"Disease: False Smut
Pathogen: Ustilaginoidea virens
Type: Fungal
Affected Plant: Rice
Host Range: Rice
Symptoms: Individual spikelets converted to small velvet-like greenish balls. Balls enlarge to 10mm diameter, becoming orange-yellow then olive-green with black powdery spores, scattered through panicle
Treatment: Propiconazole-based sprays at booting stage. Propiconazole 25% EC (1ml/L) or Azoxystrobin at booting stage
Prevention: Spray preventive fungicide at booting stage, avoid late planting, balanced nutrition",diseases_db,Rice,"Fungal,Rice,Ustilaginoidea virens",,2026-06-26 15:47:47.241464,2026-06-26 15:47:47.241464
15,disease,Stripe Rust (Yellow Rust) in Wheat,"Disease: Stripe Rust (Yellow Rust)
Pathogen: Puccinia striiformis f. sp. tritici
Type: Fungal
Affected Plant: Wheat
Host Range: Wheat, Barley, Triticale, wild grasses
Symptoms: Stripe of yellow-orange uredia arranged in rows along leaf veins on upper leaf surface. Extensive yellowing of leaves, black teliospores in stripes, reduced grain fill, shriveled kernels
Treatment: Wettable sulfur preventively; no effective organic cure. Propiconazole 25% EC (1ml/L), Tebuconazole 250 EW (1ml/L), Azoxystrobin + Propiconazole
Prevention: Plant resistant varieties (HD-3226, WH1105), timely sowing to escape high-risk period, prophylactic fungicide at flag leaf stage",diseases_db,Wheat,"Fungal,Wheat,Puccinia striiformis f. sp. tritici",,2026-06-26 15:47:47.241465,2026-06-26 15:47:47.241465
16,disease,Stem Rust (Black Rust) in Wheat,"Disease: Stem Rust (Black Rust)
Pathogen: Puccinia graminis f. sp. tritici
Type: Fungal
Affected Plant: Wheat
Host Range: Wheat, Barley, Rye, many grasses
Symptoms: Brick-red oval to elongated blisters (pustules) on stems and leaves that rupture releasing reddish-brown powdery spores. Black teliospore pustules in late season, lodging of stems, shriveled grain
Treatment: Wettable sulfur; remove barberry bushes from fields. Propiconazole 25% EC (1ml/L), Tebuconazole (1ml/L), at first sign of infection
Prevention: Rust-resistant varieties, eradicate barberry, prophylactic fungicide in Ug99-risk areas",diseases_db,Wheat,"Fungal,Wheat,Puccinia graminis f. sp. tritici",,2026-06-26 15:47:47.241465,2026-06-26 15:47:47.241466
17,disease,Loose Smut in Wheat,"Disease: Loose Smut
Pathogen: Ustilago tritici
Type: Fungal
Affected Plant: Wheat
Host Range: Wheat
Symptoms: Diseased plants emerge earlier; infected ear with black spore mass instead of grain. Complete head replaced by black teliospore mass that disperses, leaving bare rachis
Treatment: Hot water seed treatment (52°C for 10 minutes). Carboxin + Thiram seed treatment (2g/kg seed), Tebuconazole seed treatment
Prevention: Use certified smut-free seeds, systemic seed treatment fungicides, plant resistant varieties",diseases_db,Wheat,"Fungal,Wheat,Ustilago tritici",,2026-06-26 15:47:47.241466,2026-06-26 15:47:47.241466
18,disease,Powdery Mildew (Wheat) in Wheat,"Disease: Powdery Mildew (Wheat)
Pathogen: Blumeria graminis f. sp. tritici
Type: Fungal
Affected Plant: Wheat
Host Range: Wheat (host-specific)
Symptoms: White fluffy powdery patches on upper leaf surface of lower leaves. White-gray coating on all green parts, yellowing and drying of leaves, cleistothecia (black dots) visible in old patches
Treatment: Wettable sulfur (3g/L), potassium bicarbonate. Propiconazole 25% EC (1ml/L), Triadimefon 25% WP (1g/L), Azoxystrobin
Prevention: Resistant varieties, avoid dense planting, balanced nitrogen, timely fungicide sprays",diseases_db,Wheat,"Fungal,Wheat,Blumeria graminis f. sp. tritici",,2026-06-26 15:47:47.241467,2026-06-26 15:47:47.241467
19,disease,Northern Corn Leaf Blight (NCLB) in Maize,"Disease: Northern Corn Leaf Blight (NCLB)
Pathogen: Exserohilum turcicum (Setosphaeria turcica)
Type: Fungal
Affected Plant: Maize
Host Range: Maize, Sorghum, Sudan grass
Symptoms: Long (5-15cm) elliptical tan to grayish-green lesions with wavy margins on lower leaves. Extensive leaf blighting from bottom of plant upward, dark olive-green spore mass on lesions in humid conditions
Treatment: Copper-based fungicides preventively. Azoxystrobin + Propiconazole (Quilt Xcel 1L/ha), Propiconazole alone (1ml/L)
Prevention: Resistant hybrids, crop rotation, remove infected debris, timely planting",diseases_db,Maize,"Fungal,Maize,Exserohilum turcicum (Setosphaeria turcica)",,2026-06-26 15:47:47.241467,2026-06-26 15:47:47.241467
20,disease,Maize Lethal Necrosis (MLN) in Maize,"Disease: Maize Lethal Necrosis (MLN)
Pathogen: Maize chlorotic mottle virus (MCMV) + Potyviruses
Type: Viral
Affected Plant: Maize
Host Range: Maize, Sorghum, some grasses
Symptoms: Chlorotic (yellow) streaks and mottling on younger leaves; pale green to yellow leaf discoloration. Complete necrosis of all leaves from leaf tip, brown papery leaves, ear rot, premature death
Treatment: No cure; control insect vectors with neem oil, reflective mulch. No direct treatment; insecticides for vector control (Imidacloprid, Thiamethoxam)
Prevention: Plant MLN-tolerant/resistant varieties, control thrips and aphids, crop rotation, early planting, remove infected plants",diseases_db,Maize,"Viral,Maize,Maize chlorotic mottle virus (MCMV) + Potyviruses",,2026-06-26 15:47:47.241468,2026-06-26 15:47:47.241468
21,disease,Gray Leaf Spot in Maize,"Disease: Gray Leaf Spot
Pathogen: Cercospora zeae-maydis
Type: Fungal
Affected Plant: Maize
Host Range: Maize
Symptoms: Small, irregular tan spots with yellow halos, mainly on lower leaves. Elongated, rectangular, grayish-tan lesions limited by leaf veins, covering entire leaf
Treatment: Copper-based sprays preventively. Azoxystrobin, Propiconazole, Pyraclostrobin at tasseling stage
Prevention: Hybrid resistance, crop rotation, tillage to bury debris, fungicide at VT/R1",diseases_db,Maize,"Fungal,Maize,Cercospora zeae-maydis",,2026-06-26 15:47:47.241468,2026-06-26 15:47:47.241469
22,disease,Late Blight (Potato) in Potato,"Disease: Late Blight (Potato)
Pathogen: Phytophthora infestans
Type: Oomycete
Affected Plant: Potato
Host Range: Potato, Tomato
Symptoms: Water-soaked pale green spots on leaves, white sporulation on underside in humid conditions. Dark brown-black lesions on leaves, brown rots on stems, rapid spread of entire field collapse, tuber rot (brown-red internal)
Treatment: Copper hydroxide (2.5-3g/L) preventively, Bordeaux mixture, avoid excessive irrigation. Metalaxyl-M + Mancozeb 2.5g/L, Dimethomorph + Mancozeb, Cymoxanil + Famoxadone, Fluopicolide
Prevention: Plant resistant varieties (Kufri Bahar, Jyoti), use certified disease-free seed tubers, apply fungicide before first rains, destroy volunteer plants",diseases_db,Potato,"Oomycete,Potato,Phytophthora infestans",,2026-06-26 15:47:47.241469,2026-06-26 15:47:47.241469
23,disease,Common Scab in Potato,"Disease: Common Scab
Pathogen: Streptomyces scabies
Type: Bacterial (Actinomycete)
Affected Plant: Potato
Host Range: Potato, Beet, Radish, Carrot
Symptoms: No visible early symptoms on foliage. Brown corky scab lesions (raised, sunken, or russeted) on tuber surface; external quality defect only
Treatment: Soil acidification (sulfur), crop rotation, adequate irrigation during tuber formation. Quintozene PCNB seed treatment (limited), Flutolanil seed treatment
Prevention: Lower soil pH to 5.0-5.5, maintain soil moisture during tuber initiation, rotate with non-susceptible crops (cereals), use scab-resistant varieties",diseases_db,Potato,"Bacterial (Actinomycete),Potato,Streptomyces scabies",,2026-06-26 15:47:47.241470,2026-06-26 15:47:47.241470
24,disease,Anthracnose in Mango,"Disease: Anthracnose
Pathogen: Colletotrichum gloeosporioides
Type: Fungal
Affected Plant: Mango
Host Range: Mango, Papaya, Avocado, many tropical fruits
Symptoms: Dark brown to black spots on young leaves, flowers, and immature fruits; 'blossom blight' killing flower clusters. Sunken, dark brown lesions on mature fruits that expand rapidly post-harvest; fruit rot; complete flower destruction
Treatment: Copper oxychloride 3g/L, neem oil + copper, hot water dip 52°C for 5 minutes (post-harvest). Carbendazim 0.1% + Mancozeb 0.25% spray, Azoxystrobin + Difenoconazole, Propiconazole 0.1%
Prevention: Prune dead wood, copper spray before flowering, proper post-harvest handling (hot water), waxing, cold chain",diseases_db,Mango,"Fungal,Mango,Colletotrichum gloeosporioides",,2026-06-26 15:47:47.241470,2026-06-26 15:47:47.241471
25,disease,Powdery Mildew (Mango) in Mango,"Disease: Powdery Mildew (Mango)
Pathogen: Oidium mangiferae
Type: Fungal
Affected Plant: Mango
Host Range: Mango
Symptoms: White powdery coating on young leaves, flower clusters, and young fruits. Complete whitening of panicles, flower drop, young fruit drop, malformed surviving fruits
Treatment: Wettable sulfur 3g/L at bud break; diluted milk spray (1:5); potassium bicarbonate. Triadimefon 25% WP (1g/L), Hexaconazole 5% EC (2ml/L), Propiconazole 25% EC (1ml/L), Myclobutanil
Prevention: First spray at bud emergence, second at fruit set; avoid overhead irrigation; morning sprays",diseases_db,Mango,"Fungal,Mango,Oidium mangiferae",,2026-06-26 15:47:47.241471,2026-06-26 15:47:47.241471
26,disease,Mango Malformation Disease (MMD) in Mango,"Disease: Mango Malformation Disease (MMD)
Pathogen: Fusarium mangiferae
Type: Fungal
Affected Plant: Mango
Host Range: Mango
Symptoms: Vegetative malformation: bunchy top appearance with compacted proliferation of shoots ('mango witches' broom'). Floral malformation: panicle conversion to compact, sterile, green vegetative structure; no fruits formed
Treatment: Remove and burn malformed parts; control mites with acaricides. NAA (Naphthaleneacetic acid) 200ppm spray + Carbendazim (0.1%) at panicle emergence
Prevention: Use disease-free planting material, certified nursery plants, deinfest cutting tools, control mite vectors",diseases_db,Mango,"Fungal,Mango,Fusarium mangiferae",,2026-06-26 15:47:47.241472,2026-06-26 15:47:47.241472
27,disease,Panama Wilt (Fusarium Wilt of Banana) in Banana,"Disease: Panama Wilt (Fusarium Wilt of Banana)
Pathogen: Fusarium oxysporum f. sp. cubense (TR4)
Type: Fungal
Affected Plant: Banana
Host Range: Banana, Plantain
Symptoms: Yellowing of older outer leaves, leaf collapse, starting from leaf margins; brown streaking in pseudostem when cut. Complete plant collapse, pseudostem brown-red internal discoloration from base upward, no fruit production
Treatment: No cure. Soil solarization, biological soil amendments (Trichoderma, compost). No effective chemical treatment
Prevention: Strict quarantine, plant resistant varieties (GCTCV-218 for TR4), clean tools with bleach, avoid infected soil movement",diseases_db,Banana,"Fungal,Banana,Fusarium oxysporum f. sp. cubense (TR4)",,2026-06-26 15:47:47.241472,2026-06-26 15:47:47.241473
28,disease,Black Sigatoka (Black Leaf Streak) in Banana,"Disease: Black Sigatoka (Black Leaf Streak)
Pathogen: Pseudocercospora fijiensis
Type: Fungal
Affected Plant: Banana
Host Range: Banana, Plantain
Symptoms: Tiny pale yellow flecks on lower leaf surface that elongate into brown streaks. Brown-black elongated lesions with yellow halo on upper leaf surface; premature defoliation; green fruit ripening prematurely
Treatment: Copper oxychloride (2-3g/L) sprays, oil-based copper formulations; remove infected leaves. Systemic fungicides on rotation: Propiconazole, Tebuconazole, Fenbuconazole, Chlorothalonil; resistance management essential
Prevention: Resistant varieties, remove lower infected leaves (deleafing), reduce humidity with good drainage and canopy management",diseases_db,Banana,"Fungal,Banana,Pseudocercospora fijiensis",,2026-06-26 15:47:47.241473,2026-06-26 15:47:47.241473
29,disease,Cotton Leaf Curl Virus Disease (CLCuD) in Cotton,"Disease: Cotton Leaf Curl Virus Disease (CLCuD)
Pathogen: Cotton leaf curl Multan virus (CLCuMV) + betasatellite
Type: Viral
Affected Plant: Cotton
Host Range: Cotton, Okra, Hibiscus, Tomato
Symptoms: Upward curling of leaves, vein thickening, enations (leaf-like outgrowths) on underside of leaves. Severe stunting, dark green thickened curled leaves, no boll formation, plant death
Treatment: Control whiteflies with neem extract, reflective mulch, remove infected plants. Imidacloprid/Thiamethoxam soil application for whitefly control; Acetamiprid foliar spray
Prevention: Resistant varieties (NIAB 846, CIM-499), control whiteflies strictly, remove infected plants, use insect-proof nets in nursery",diseases_db,Cotton,"Viral,Cotton,Cotton leaf curl Multan virus (CLCuMV) + betasatellite",,2026-06-26 15:47:47.241474,2026-06-26 15:47:47.241474
30,disease,Damping Off in General,"Disease: Damping Off
Pathogen: Pythium spp., Rhizoctonia solani, Fusarium spp.
Type: Fungal / Oomycete
Affected Plant: General
Host Range: All vegetable and field crops in seedling stage
Symptoms: Seeds fail to germinate (pre-emergence damping off), or seedlings collapse just below soil level (post-emergence). Water-soaked 'pinched' stem at soil level, seedling falls over, dark discoloration at base
Treatment: Chilled neem cake in soil, well-drained media, Trichoderma seed treatment, chamomile tea drench. Metalaxyl 35% DS seed treatment, Captan 50% WP seed treatment (2g/kg), copper sulfate soil drench
Prevention: Use sterile nursery media, avoid overwatering, thin seedlings, use well-drained trays, treat seeds before sowing",diseases_db,General,"Fungal / Oomycete,General,Pythium spp., Rhizoctonia solani, Fusarium spp.",,2026-06-26 15:47:47.241474,2026-06-26 15:47:47.241475
31,disease,Crown Gall in General,"Disease: Crown Gall
Pathogen: Agrobacterium tumefaciens (Rhizobium radiobacter)
Type: Bacterial
Affected Plant: General
Host Range: Rose, Fruit trees (apple, cherry, walnut), Grapes, more than 600 species
Symptoms: Small, soft, round galls develop at crown (soil line) or on roots. Galls enlarge to large rough, brown, corky tumors; reduced plant vigor, stunting, increased susceptibility to other diseases
Treatment: Cut out galls; treat with Agrobacterium radiobacter strain K-84 (biocontrol) at planting. No effective post-infection treatment; copper bactericides preventively
Prevention: Avoid wounding, use K-84 dip on roots before planting, plant only certified gall-free material",diseases_db,General,"Bacterial,General,Agrobacterium tumefaciens (Rhizobium radiobacter)",,2026-06-26 15:47:47.241475,2026-06-26 15:47:47.241475
32,disease,Botrytis Gray Mold in General,"Disease: Botrytis Gray Mold
Pathogen: Botrytis cinerea
Type: Fungal
Affected Plant: General
Host Range: > 1000 plant species including grapes, strawberry, rose, tomato, lettuce, onion
Symptoms: Water-soaked, brown lesions on petals, leaves, and stems; soft rot. Characteristic gray fluffy fungal sporulation covering lesions; blight of flowers, stem cankers, fruit rot (""ghost spot"" on tomato)
Treatment: Remove infected tissue, improve air circulation, reduce humidity; Bacillus subtilis, Trichoderma spray. Iprodione (1.5g/L), Pyrimethanil (1ml/L), Fenhexamid (1g/L), Cyprodinil (0.5g/L). Rotate fungicides for resistance management.
Prevention: Improve air circulation, avoid wounding, remove dead tissue, avoid waterlogging, maintain low humidity",diseases_db,General,"Fungal,General,Botrytis cinerea",,2026-06-26 15:47:47.241475,2026-06-26 15:47:47.241476
33,disease,Sclerotinia Stem Rot (White Mold) in General,"Disease: Sclerotinia Stem Rot (White Mold)
Pathogen: Sclerotinia sclerotiorum
Type: Fungal
Affected Plant: General
Host Range: > 400 species: Canola, Soybean, Sunflower, Bean, Carrot, Celery
Symptoms: Water-soaked lesions on lower stems and branches; bleached, straw-colored stem tissue. White cottony mycelial growth inside and outside infected tissue, large hard black sclerotia (2-10mm) inside stem
Treatment: Thiram-treated seeds, adequate plant spacing, crop rotation. Thiophanate-methyl (1g/L), Boscalid (0.5g/L), Iprodione, Fluazinam at early flowering
Prevention: Crop rotation (non-host crops for 3+ years), avoid dense planting, improve drainage",diseases_db,General,"Fungal,General,Sclerotinia sclerotiorum",,2026-06-26 15:47:47.241476,2026-06-26 15:47:47.241476
34,pest,Whitefly - Sucking_Pests,"Pest: Whitefly (Bemisia tabaci)
Category: Sucking_Pests
Host Plants: Tomato, Cotton, Pepper, Cucumber, Cassava, Sweet Potato, Bean
Damage: Yellowing leaves, sticky honeydew, sooty mold (secondary), vector of 200+ plant viruses (TYLCV, CLCuD, CBSD, cassava mosaic)
Identification: Tiny (1-1.5mm) white-winged insects; fly in clouds when disturbed; yellowish oval nymphs on leaf underside
Organic Control: Yellow sticky traps, neem oil + soap spray (5ml+2ml per L), reflective mulch, soap water spray, Beauveria bassiana
Chemical Control: Imidacloprid 17.8% SL (0.5ml/L), Thiamethoxam 25% WG (0.2g/L), Acetamiprid 20% SP (0.2g/L), Spiromesifen (resistance management)
Biological Control: Encarsia formosa (parasitic wasp), Eretmocerus mundus, Macrolophus pygmaeus (predatory bug), Beauveria bassiana
IPM Notes: Rotate between chemical classes to manage resistance; use systemic at transplanting, contact at adult stage; banker plant system in greenhouses",pests_db,"Tomato, Cotton, Pepper, Cucumber, Cassava, Sweet Potato, Bean","Sucking_Pests,Bemisia tabaci",,2026-06-26 15:47:47.245838,2026-06-26 15:47:47.245838
35,pest,Aphids - Sucking_Pests,"Pest: Aphids (Myzus persicae (Green Peach Aphid); multiple species)
Category: Sucking_Pests
Host Plants: Universal — thousands of plant species (vegetables, fruits, ornamentals, cereals)
Damage: Leaf curling, distortion, yellowing; sticky honeydew with black sooty mold; severe infestations stunt plants; vectors of 200+ plant viruses (CMV, PVY, BYDV)
Identification: Soft-bodied 1-3mm insects, green/yellow/black/pink depending on species; winged and wingless forms; two cornicles (tail tubes) on abdomen
Organic Control: Strong water spray to dislodge; insecticidal soap (1%); neem oil (3-5ml/L); garlic-pepper spray; encourage natural enemies
Chemical Control: Imidacloprid 17.8% SL (0.3ml/L), Dimethoate 30% EC (2ml/L), Flonicamid, Pymetrozine, Spirotetramat
Biological Control: Coccinella septempunctata (ladybug), Chrysoperla carnea (lacewing), Aphidius colemani and A. ervi (parasitic wasps), Syrphid fly larvae
IPM Notes: Banker plant systems (cereal aphid + parasitoid) used in greenhouses; avoid broad-spectrum insecticides that kill natural enemies",pests_db,"Universal — thousands of plant species (vegetables, fruits, ornamentals, cereals)","Sucking_Pests,Myzus persicae (Green Peach Aphid); multiple species",,2026-06-26 15:47:47.245839,2026-06-26 15:47:47.245839
