id,kingdom,subkingdom,division,subdivision,class_name,subclass,order_name,family_name,subfamily,tribe,genus,species,common_name,botanical_name,author_citation,iucn_status,category,family_description,genera_species_count,created_at
12,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Paspalum,scrobiculatum,Kodo Millet,Paspalum scrobiculatum,L.,LC,Millet,Grass family; cereals and grains - most economically important plant family,400,2026-06-26 15:47:47.232653
13,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Panicum,sumatrense,Little Millet,Panicum sumatrense,Roth ex Roem. & Schult.,LC,Millet,Grass family; cereals and grains - most economically important plant family,450,2026-06-26 15:47:47.232653
14,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Caryophyllidae,Caryophyllales,Polygonaceae,Polygonoideae,,Fagopyrum,esculentum,Buckwheat,Fagopyrum esculentum,Moench,LC,Pseudocereal,Buckwheat/Dock family,25,2026-06-26 15:47:47.232654
15,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Caryophyllidae,Caryophyllales,Amaranthaceae,Chenopodioideae,,Chenopodium,quinoa,Quinoa,Chenopodium quinoa,Willd.,LC,Pseudocereal,"Amaranth family; includes beet, spinach, quinoa",200,2026-06-26 15:47:47.232654
16,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Caryophyllidae,Caryophyllales,Amaranthaceae,Amaranthoideae,,Amaranthus,hypochondriacus,Amaranth Grain,Amaranthus hypochondriacus,L.,LC,Pseudocereal,"Amaranth family; includes beet, spinach, quinoa",75,2026-06-26 15:47:47.232654
17,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Pooideae,,Triticum,durum,Durum Wheat,Triticum durum,Desf.,LC,Cereal,Grass family; cereals and grains - most economically important plant family,30,2026-06-26 15:47:47.232655
18,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Pooideae,,Secale,cereale,Rye,Secale cereale,L.,LC,Cereal,Grass family; cereals and grains - most economically important plant family,0,2026-06-26 15:47:47.232655
19,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Pooideae,,Triticosecale,rimpaui,Triticale,Triticosecale rimpaui,Wittm.,LC,Cereal,Grass family; cereals and grains - most economically important plant family,0,2026-06-26 15:47:47.232655
20,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Glycine,max,Soybean,Glycine max,(L.) Merr.,LC,Pulse,Legume/Pea family; world's second largest food plant family,18,2026-06-26 15:47:47.232656
21,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Cicer,arietinum,Chickpea (Bengal Gram),Cicer arietinum,L.,LC,Pulse,Legume/Pea family; world's second largest food plant family,43,2026-06-26 15:47:47.232656
22,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Lens,culinaris,Lentil,Lens culinaris,Medik.,LC,Pulse,Legume/Pea family; world's second largest food plant family,6,2026-06-26 15:47:47.232656
23,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Cajanus,cajan,Pigeon Pea (Red Gram),Cajanus cajan,(L.) Millsp.,LC,Pulse,Legume/Pea family; world's second largest food plant family,32,2026-06-26 15:47:47.232657
24,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Vigna,radiata,Mung Bean (Green Gram),Vigna radiata,(L.) R.Wilczek,LC,Pulse,Legume/Pea family; world's second largest food plant family,100,2026-06-26 15:47:47.232657
25,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Vigna,mungo,Black Gram (Urad),Vigna mungo,(L.) Hepper,LC,Pulse,Legume/Pea family; world's second largest food plant family,100,2026-06-26 15:47:47.232657
26,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Vigna,unguiculata,Cowpea,Vigna unguiculata,(L.) Walp.,LC,Pulse,Legume/Pea family; world's second largest food plant family,100,2026-06-26 15:47:47.232658
27,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Phaseolus,vulgaris,Kidney Bean,Phaseolus vulgaris,L.,LC,Pulse,Legume/Pea family; world's second largest food plant family,80,2026-06-26 15:47:47.232658
28,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Phaseolus,lunatus,Lima Bean,Phaseolus lunatus,L.,LC,Pulse,Legume/Pea family; world's second largest food plant family,80,2026-06-26 15:47:47.232658
29,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Pisum,sativum,Field Pea,Pisum sativum,L.,LC,Pulse,Legume/Pea family; world's second largest food plant family,2,2026-06-26 15:47:47.232659
30,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Vicia,faba,Faba Bean (Broad Bean),Vicia faba,L.,LC,Pulse,Legume/Pea family; world's second largest food plant family,140,2026-06-26 15:47:47.232659
31,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Arachis,hypogaea,Groundnut (Peanut),Arachis hypogaea,L.,LC,Oilseed/Pulse,Legume/Pea family; world's second largest food plant family,80,2026-06-26 15:47:47.232659
32,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Vigna,aconitifolia,Moth Bean,Vigna aconitifolia,(Jacq.) Marechal,LC,Pulse,Legume/Pea family; world's second largest food plant family,100,2026-06-26 15:47:47.232660
33,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Macrotyloma,uniflorum,Horse Gram,Macrotyloma uniflorum,(Lam.) Verdc.,LC,Pulse,Legume/Pea family; world's second largest food plant family,0,2026-06-26 15:47:47.232660
34,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Faboideae,,Cyamopsis,tetragonoloba,Cluster Bean (Guar),Cyamopsis tetragonoloba,(L.) Taub.,LC,Pulse,Legume/Pea family; world's second largest food plant family,0,2026-06-26 15:47:47.232660
35,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Asterales,Asteraceae,Asteroideae,,Helianthus,annuus,Sunflower,Helianthus annuus,L.,LC,Oilseed,Daisy/Composite family; world's largest flowering plant family,70,2026-06-26 15:47:47.232661
36,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Brassicales,Brassicaceae,Brassiceae,,Brassica,napus,Rapeseed / Canola,Brassica napus,L.,LC,Oilseed,Mustard/Cabbage family; cruciferous vegetables,40,2026-06-26 15:47:47.232661
37,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malvales,Malvaceae,Malvoideae,,Gossypium,hirsutum,Cotton,Gossypium hirsutum,L.,LC,Fiber/Oilseed,"Mallow family; cotton, hibiscus, cacao, durian",50,2026-06-26 15:47:47.232661
38,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Lamiales,Pedaliaceae,Sesameae,,Sesamum,indicum,Sesame,Sesamum indicum,L.,LC,Oilseed,,36,2026-06-26 15:47:47.232662
39,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malpighiales,Euphorbiaceae,Acalyphoideae,,Ricinus,communis,Castor,Ricinus communis,L.,LC,Oilseed,"Spurge family; includes cassava, rubber, castor",1,2026-06-26 15:47:47.232662
40,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malpighiales,Linaceae,Linoideae,,Linum,usitatissimum,Linseed / Flax,Linum usitatissimum,L.,LC,Fiber/Oilseed,,200,2026-06-26 15:47:47.232662
41,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Arecales,Arecaceae,Arecoideae,,Elaeis,guineensis,Oil Palm,Elaeis guineensis,Jacq.,LC,Oilseed/Plantation,"Palm family; coconut, date, oil palm",2,2026-06-26 15:47:47.232663
42,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malpighiales,Euphorbiaceae,Crotonoideae,,Jatropha,curcas,Jatropha (Biofuel),Jatropha curcas,L.,LC,Biofuel/Oilseed,"Spurge family; includes cassava, rubber, castor",175,2026-06-26 15:47:47.232663
43,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Brassicales,Brassicaceae,Brassiceae,,Brassica,nigra,Mustard (Black),Brassica nigra,(L.) K.Koch,LC,Oilseed/Spice,Mustard/Cabbage family; cruciferous vegetables,40,2026-06-26 15:47:47.232663
44,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Asterales,Asteraceae,Carduoideae,,Carthamus,tinctorius,Safflower,Carthamus tinctorius,L.,LC,Oilseed,Daisy/Composite family; world's largest flowering plant family,0,2026-06-26 15:47:47.232664
45,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Saccharum,officinarum,Sugarcane,Saccharum officinarum,L.,LC,Sugar Crop,Grass family; cereals and grains - most economically important plant family,37,2026-06-26 15:47:47.232664
46,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Caryophyllidae,Caryophyllales,Amaranthaceae,Chenopodioideae,,Beta,vulgaris,Sugar Beet,Beta vulgaris subsp. vulgaris,L.,LC,Sugar Crop,"Amaranth family; includes beet, spinach, quinoa",6,2026-06-26 15:47:47.232664
47,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Asterales,Asteraceae,Eupatorieae,,Stevia,rebaudiana,Stevia,Stevia rebaudiana,Bertoni,LC,Sugar Crop,Daisy/Composite family; world's largest flowering plant family,0,2026-06-26 15:47:47.232665
48,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malvales,Malvaceae,Grewioideae,,Corchorus,olitorius,Jute,Corchorus olitorius,L.,LC,Fiber Crop,"Mallow family; cotton, hibiscus, cacao, durian",0,2026-06-26 15:47:47.232665
49,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Rosales,Cannabaceae,Cannaboideae,,Cannabis,sativa,Hemp,Cannabis sativa,L.,LC,Fiber/Industrial,Hemp family; includes hemp and hops,0,2026-06-26 15:47:47.232665
50,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Lilianae,Asparagales,Asparagaceae,Agavoideae,,Agave,sisalana,Sisal,Agave sisalana,Perrine,LC,Fiber Crop,"Asparagus family; includes agave, yucca",208,2026-06-26 15:47:47.232666
51,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Gentianales,Rubiaceae,Ixoroideae,,Coffea,arabica,Coffee (Arabica),Coffea arabica,L.,EN,Beverage/Plantation,Coffee/Bedstraw family,125,2026-06-26 15:47:47.232666
52,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Gentianales,Rubiaceae,Ixoroideae,,Coffea,canephora,Coffee (Robusta),Coffea canephora,Pierre ex A.Froehner,LC,Beverage/Plantation,Coffee/Bedstraw family,125,2026-06-26 15:47:47.232666
53,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Ericales,Theaceae,Theoideae,,Camellia,sinensis,Tea,Camellia sinensis,(L.) Kuntze,LC,Beverage/Plantation,Tea family,119,2026-06-26 15:47:47.232667
54,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malvales,Malvaceae,Byttnerioideae,,Theobroma,cacao,Cacao (Cocoa),Theobroma cacao,L.,LC,Beverage/Plantation,"Mallow family; cotton, hibiscus, cacao, durian",22,2026-06-26 15:47:47.232667
55,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malpighiales,Euphorbiaceae,Crotonoideae,,Hevea,brasiliensis,Rubber Tree,Hevea brasiliensis,(Willd. ex A.Juss.) Müll.Arg.,LC,Plantation/Industrial,"Spurge family; includes cassava, rubber, castor",11,2026-06-26 15:47:47.232668
56,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Anacardiaceae,Anacardioideae,,Mangifera,indica,Mango,Mangifera indica,L.,LC,Fruit,Cashew/Mango family,69,2026-06-26 15:47:47.232668
57,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Zingiberales,Musaceae,Musoideae,,Musa,acuminata,Banana,Musa acuminata,Colla,LC,Fruit,Banana family,70,2026-06-26 15:47:47.232668
58,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Bromeliaceae,Bromelioideae,,Ananas,comosus,Pineapple,Ananas comosus,(L.) Merr.,LC,Fruit,Pineapple family,8,2026-06-26 15:47:47.232669
59,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Brassicales,Caricaceae,Caricaceae,,Carica,papaya,Papaya,Carica papaya,L.,LC,Fruit,Papaya family,22,2026-06-26 15:47:47.232669
60,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Rosales,Moraceae,Moroideae,,Artocarpus,heterophyllus,Jackfruit,Artocarpus heterophyllus,Lam.,LC,Fruit,"Mulberry family; includes fig, breadfruit, jackfruit",70,2026-06-26 15:47:47.232669
61,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Myrtales,Myrtaceae,Myrtoideae,,Psidium,guajava,Guava,Psidium guajava,L.,LC,Fruit,"Myrtle family; includes guava, eucalyptus, clove",100,2026-06-26 15:47:47.232669
62,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Arecales,Arecaceae,Arecoideae,,Cocos,nucifera,Coconut,Cocos nucifera,L.,LC,Fruit/Plantation,"Palm family; coconut, date, oil palm",1,2026-06-26 15:47:47.232670
63,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Arecales,Arecaceae,Arecoideae,,Phoenix,dactylifera,Date Palm,Phoenix dactylifera,L.,LC,Fruit,"Palm family; coconut, date, oil palm",14,2026-06-26 15:47:47.232670
64,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Myrtales,Lythraceae,Punicoideae,,Punica,granatum,Pomegranate,Punica granatum,L.,LC,Fruit,Loosestrife family; includes pomegranate and henna,2,2026-06-26 15:47:47.232670
65,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Caryophyllidae,Caryophyllales,Cactaceae,Cactoideae,,Selenicereus,undatus,Dragon Fruit (Pitaya),Selenicereus undatus,(Haw.) D.R.Hunt,LC,Fruit,Cactus family; succulent xerophytes,20,2026-06-26 15:47:47.232671
66,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Perseoideae,,Persea,americana,Avocado,Persea americana,Mill.,LC,Fruit,"Laurel family; avocado, cinnamon, bay laurel",200,2026-06-26 15:47:47.232671
67,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Ericales,Actinidiaceae,Actinidioideae,,Actinidia,deliciosa,Kiwifruit,Actinidia deliciosa,(A.Chev.) C.F.Liang & A.R.Ferguson,LC,Fruit,Kiwifruit family,54,2026-06-26 15:47:47.232671
68,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Sapindaceae,Sapindoideae,,Litchi,chinensis,Lychee,Litchi chinensis,Sonn.,LC,Fruit,"Soapberry family; includes lychee, longan, rambutan, maple",1,2026-06-26 15:47:47.232672
69,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Sapindaceae,Sapindoideae,,Dimocarpus,longan,Longan,Dimocarpus longan,Lour.,LC,Fruit,"Soapberry family; includes lychee, longan, rambutan, maple",3,2026-06-26 15:47:47.232672
70,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Sapindaceae,Sapindoideae,,Nephelium,lappaceum,Rambutan,Nephelium lappaceum,L.,LC,Fruit,"Soapberry family; includes lychee, longan, rambutan, maple",22,2026-06-26 15:47:47.232672
71,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malvales,Malvaceae,Helicteroideae,,Durio,zibethinus,Durian,Durio zibethinus,D.Murray,LC,Fruit,"Mallow family; cotton, hibiscus, cacao, durian",30,2026-06-26 15:47:47.232673
72,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malpighiales,Passifloraceae,Passifloroideae,,Passiflora,edulis,Passion Fruit,Passiflora edulis,Sims,LC,Fruit,Passion flower family,550,2026-06-26 15:47:47.232673
73,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Asteridae,Ericales,Sapotaceae,Mimusopoideae,,Manilkara,zapota,Sapodilla (Sapota),Manilkara zapota,(L.) P.Royen,LC,Fruit,"Sapodilla family; chicle, shea butter",85,2026-06-26 15:47:47.232673
74,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Rosales,Moraceae,Moroideae,,Ficus,carica,Fig,Ficus carica,L.,LC,Fruit,"Mulberry family; includes fig, breadfruit, jackfruit",850,2026-06-26 15:47:47.232674
75,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Rosales,Moraceae,Moroideae,,Morus,alba,Mulberry,Morus alba,L.,LC,Fruit,"Mulberry family; includes fig, breadfruit, jackfruit",16,2026-06-26 15:47:47.232674
76,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Annonoideae,,Annona,squamosa,Custard Apple,Annona squamosa,L.,LC,Fruit,Custard apple / Soursop family,166,2026-06-26 15:47:47.232674
77,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Annonoideae,,Annona,muricata,Soursop (Graviola),Annona muricata,L.,LC,Fruit,Custard apple / Soursop family,166,2026-06-26 15:47:47.232675
78,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Oxalidales,Oxalidaceae,Oxalidoideae,,Averrhoa,carambola,Star Fruit (Carambola),Averrhoa carambola,L.,LC,Fruit,Wood sorrel family; includes star fruit,2,2026-06-26 15:47:47.232675
79,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malpighiales,Clusiaceae,Clusioideae,,Garcinia,mangostana,Mangosteen,Garcinia mangostana,L.,LC,Fruit,Mangosteen family (Guttiferae),400,2026-06-26 15:47:47.232675
80,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Rosales,Moraceae,Moroideae,,Artocarpus,altilis,Breadfruit,Artocarpus altilis,(Parkinson) Fosberg,LC,Fruit,"Mulberry family; includes fig, breadfruit, jackfruit",70,2026-06-26 15:47:47.232676
81,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Fabales,Fabaceae,Caesalpinioideae,,Tamarindus,indica,Tamarind,Tamarindus indica,L.,LC,Fruit/Spice,Legume/Pea family; world's second largest food plant family,0,2026-06-26 15:47:47.232676
82,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Myrtales,Myrtaceae,Myrtoideae,,Syzygium,cumini,Java Plum (Jamun),Syzygium cumini,(L.) Skeels,LC,Fruit,"Myrtle family; includes guava, eucalyptus, clove",1200,2026-06-26 15:47:47.232676
83,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Malpighiales,Phyllanthaceae,Phyllanthoideae,,Phyllanthus,emblica,Amla (Indian Gooseberry),Phyllanthus emblica,L.,LC,Fruit/Medicinal,,800,2026-06-26 15:47:47.232677
84,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Rutaceae,Aurantioideae,,Aegle,marmelos,Wood Apple (Bael),Aegle marmelos,(L.) Corrêa,LC,Fruit/Medicinal,Citrus family; all citrus fruits,0,2026-06-26 15:47:47.232677
85,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Zingiberales,Musaceae,Musoideae,,Musa,paradisiaca,Banana (Plantain),Musa paradisiaca,L.,LC,Fruit,Banana family,70,2026-06-26 15:47:47.232677
86,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Rutaceae,Aurantioideae,,Citrus,sinensis,Sweet Orange,Citrus sinensis,(L.) Osbeck,LC,Fruit,Citrus family; all citrus fruits,25,2026-06-26 15:47:47.232678
87,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Rutaceae,Aurantioideae,,Citrus,limon,Lemon,Citrus limon,(L.) Osbeck,LC,Fruit,Citrus family; all citrus fruits,25,2026-06-26 15:47:47.232678
88,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Rutaceae,Aurantioideae,,Citrus,aurantiifolia,Lime,Citrus aurantiifolia,(Christm.) Swingle,LC,Fruit,Citrus family; all citrus fruits,25,2026-06-26 15:47:47.232678
89,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Rutaceae,Aurantioideae,,Citrus,reticulata,Mandarin / Tangerine,Citrus reticulata,Blanco,LC,Fruit,Citrus family; all citrus fruits,25,2026-06-26 15:47:47.232679
90,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Rutaceae,Aurantioideae,,Citrus,paradisi,Grapefruit,Citrus paradisi,Macfad.,LC,Fruit,Citrus family; all citrus fruits,25,2026-06-26 15:47:47.232679
91,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Rutaceae,Aurantioideae,,Citrus,maxima,Pomelo,Citrus maxima,(Burm.) Merr.,LC,Fruit,Citrus family; all citrus fruits,25,2026-06-26 15:47:47.232679
92,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Sapindales,Rutaceae,Aurantioideae,,Fortunella,japonica,Kumquat,Fortunella japonica,(Thunb.) Swingle,LC,Fruit,Citrus family; all citrus fruits,0,2026-06-26 15:47:47.232679
93,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Rosales,Rosaceae,Maloideae,,Malus,domestica,Apple,Malus domestica,Borkh.,LC,Fruit,"Rose family; includes apples, pears, cherries, plums, strawberries",55,2026-06-26 15:47:47.232680
94,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Magnoliopsida,Rosidae,Rosales,Rosaceae,Maloideae,,Pyrus,communis,Pear,Pyrus communis,L.,LC,Fruit,"Rose family; includes apples, pears, cherries, plums, strawberries",87,2026-06-26 15:47:47.232680
